eps_num,iter,critic_loss,actor_loss,csc_samples_neg,csc_samples_pos,train_acc,snap_iter,beta_score,main_critic_loss,main_actor_loss,main_beta_score,main_prox_critic,main_prox_actor,main_avg_prox_coef,tidx,avg_rewards,one_raw_reward
1100,190000,432.15039482116697,-409.3304382324219,200,204,0.801980198019802,10,1.0,58.53495620727539,-176.29407165527343,0.5997775,1.5020925843715667,0.974881763458252,0.09999999999999998,0,852.8364538739216,937.4473270655334
1100,190000,358.9046741485596,-141.06541290283204,200,204,0.7425742574257426,10,1.0,35.5216259765625,-112.16098449707032,0.87800014,1.7364222669601441,0.7846808767318726,0.09999999999999998,1,499.38358380015165,535.9964264088057
1150,200000,408.3583251953125,-424.7595275878906,200,204,0.8762376237623762,10,1.0,42.59391342163086,-117.61279174804687,0.39494714,1.8409270310401917,0.8762884616851807,0.09999999999999998,0,929.4837761068865,1030.1219379457702
1150,200000,217.82490787506103,-155.99361572265624,200,204,0.7871287128712872,10,1.0,41.13914360046387,-144.2687957763672,0.9446535,1.6341723597049713,0.6802030253410339,0.09999999999999998,1,524.9248244909448,516.9280176572902
1200,210000,353.02506866455076,-429.3209716796875,200,204,0.8242574257425742,10,1.0,45.260676879882816,-191.9058087158203,0.5367732,1.6895471513271332,0.8623523426055908,0.09999999999999998,0,899.73301938259,1043.1218541248018
1200,210000,202.9435676574707,-157.93633728027345,200,204,0.75,10,1.0,44.576339111328124,-134.15824798583984,1.0003754,1.7709803819656371,0.8289095187187194,0.09999999999999998,1,546.2108224866233,503.35807034028994
1250,220000,456.792919921875,-412.5856140136719,200,204,0.801980198019802,10,1.0,82.80560874938965,-256.33278381347657,0.7577163,1.7034962451457978,1.1249705243110657,0.09999999999999998,0,977.0526456423684,953.8246532676958
1250,220000,298.59755249023436,-170.31801147460936,200,204,0.7574257425742574,10,1.0,70.67886260986329,-172.5231591796875,1.2696421,2.1361645603179933,1.0937747359275818,0.09999999999999998,1,525.9689160719118,532.3100990348702
1300,230000,303.6698371887207,-416.9061645507812,200,204,0.7623762376237624,10,1.0,77.57497787475586,-309.50822021484373,0.8614086,1.8183713924884797,1.0226760911941528,0.09999999999999998,0,940.5106666176107,911.6669064679528
1300,230000,159.621875,-177.71210632324218,200,204,0.7896039603960396,10,1.0,33.07280673980713,-127.84765167236328,0.7209401,1.7406534779071807,0.7142268919944763,0.09999999999999998,1,572.8545758573429,586.0912558045485
1350,240000,424.4470085144043,-424.7537109375,200,204,0.7945544554455446,10,1.0,60.62708808898926,-250.99561950683594,0.6677605,1.5857569468021393,0.8837321257591247,0.09999999999999998,0,980.6504756042375,1032.2140762500524
1350,240000,306.3414245605469,-179.52086181640624,200,204,0.7574257425742574,10,1.0,52.64998016357422,-172.1017907714844,1.0764853,1.6506706428527833,0.7798743951320648,0.09999999999999998,1,550.1269310795612,581.7181203022407
