actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
0.3060873967409134,50,10000,0.8880873644351959,200,-7.039517862921147,50.0,-7.430197,3106,10000,1,10000
0.18966043718159198,200,10400,0.6784962376952172,202,-17.758186233951758,200.0,-17.758186,379,10400,2,10400
0.10779915776103735,200,10800,0.6802888345718384,204,44.35954285462954,200.0,44.359543,321,10800,3,10800
0.021652833819389344,200,11200,0.7327339339256287,206,-62.29306264720527,200.0,-62.293063,280,11200,4,11200
-0.33151196129620075,200,11600,0.7363608592748642,208,-0.7503712303645631,200.0,-0.750371,251,11600,5,11600
-0.8681866532564163,200,12000,0.6293452613055706,210,-77.37598505390712,200.0,-77.375985,228,12000,6,12000
-1.2124576306343078,200,12400,0.7430932188034057,212,-26.42341422487527,200.0,-26.423414,211,12400,7,12400
-1.437614163160324,200,12800,0.7996481576561928,214,47.35121037137688,200.0,47.35121,196,12800,8,12800
-1.6579175198078155,200,13200,0.8189239144325257,216,-56.64347136751172,200.0,-56.643471,184,13200,9,13200
-1.8264010560512542,200,13600,0.8911924102902412,218,-98.04317821399782,200.0,-98.043178,174,13600,10,13600
-2.111614792346954,200,14000,0.9786765852570534,220,43.18507453375301,200.0,43.185075,166,14000,11,14000
-2.445951969623566,200,14400,1.3216006594896317,222,25.316893784305222,200.0,25.316894,159,14400,12,14400
-3.1168416357040405,200,14800,1.2810950723290444,224,247.3524849085174,200.0,247.352485,152,14800,13,14800
-3.6387493062019347,200,15200,1.4175196301937103,226,14.86756904096619,200.0,14.867569,147,15200,14,15200
-4.194799363613129,200,15600,1.5096318674087525,228,-65.23862010573941,200.0,-65.23862,142,15600,15,15600
-4.7326583313941955,200,16000,1.7302510356903076,230,122.73341547978926,200.0,122.733415,137,16000,16,16000
-5.313183999061584,200,16400,1.7799026215076446,232,5.526391440069653,200.0,5.526391,133,16400,17,16400
-5.812863664627075,200,16800,2.1156121641397476,234,-33.72149144305209,200.0,-33.721491,130,16800,18,16800
-6.371068058013916,200,17200,2.1355874770879746,236,-13.161181396376152,200.0,-13.161181,127,17200,19,17200
-6.974127745628357,200,17600,2.171093101501465,238,32.87206571622786,200.0,32.872066,124,17600,20,17600
-7.549250931739807,200,18000,2.3376304745674132,240,19.0229920453374,200.0,19.022992,122,18000,21,18000
-8.092983274459838,200,18400,2.523060290813446,242,-65.6606018173911,200.0,-65.660602,119,18400,22,18400
-8.864479780197144,200,18800,2.615901345014572,244,359.9528200604222,200.0,359.95282,117,18800,23,18800
-9.426625204086303,200,19200,2.753602278828621,246,51.62752897827396,200.0,51.627529,115,19200,24,19200
-9.971291456222534,200,19600,2.7511681711673734,248,117.90741320719131,200.0,117.907413,113,19600,25,19600
-10.546298484802247,200,20000,2.9224054300785065,250,400.7287553454529,200.0,400.728755,111,20000,26,20000
-11.103160037994385,200,20400,2.9728522539138793,252,29.554816042457702,200.0,29.554816,102,20400,27,20400
-11.509113397598266,200,20800,3.137306106090546,254,65.85683403134423,200.0,65.856834,101,20800,28,20800
-12.45993634223938,200,21200,3.254275144338608,256,290.37889323575354,200.0,290.378893,100,21200,29,21200
-13.13986068725586,200,21600,3.5282624125480653,258,457.9406603329171,200.0,457.94066,99,21600,30,21600
-13.675839462280273,200,22000,3.550905672311783,260,59.130368331676074,200.0,59.130368,98,22000,31,22000
-14.134908742904663,200,22400,3.7329547119140627,262,385.2696830866941,200.0,385.269683,97,22400,32,22400
-14.622673568725586,200,22800,3.8608232402801512,264,11.99304332722972,200.0,11.993043,96,22800,33,22800
-15.128121976852418,200,23200,4.157804664373398,266,165.55917691602903,200.0,165.559177,95,23200,34,23200
-15.519880132675171,200,23600,4.144513807296753,268,46.2146471163598,200.0,46.214647,94,23600,35,23600
-15.872654027938843,200,24000,4.247464609146118,270,9.086389901459315,200.0,9.08639,93,24000,36,24000
-16.655937185287474,200,24400,4.53585265159607,272,474.0344342350392,200.0,474.034434,92,24400,37,24400
-17.342427082061768,200,24800,5.089797588586808,274,216.9665630711572,200.0,216.966563,92,24800,38,24800
-17.541958751678468,200,25200,4.9159684193134305,276,-21.66607620376494,200.0,-21.666076,91,25200,39,25200
-18.073588409423827,200,25600,5.087133215665817,278,-16.27830564909908,200.0,-16.278306,90,25600,40,25600
-18.788184108734132,200,26000,5.204067213535309,280,-1.0347768367966341,200.0,-1.034777,90,26000,41,26000
-19.382271499633788,200,26400,5.536021466255188,282,295.21526285944805,200.0,295.215263,89,26400,42,26400
-20.266408195495604,200,26800,5.7330335116386415,284,449.59338710656493,200.0,449.593387,89,26800,43,26800
-20.91554843902588,200,27200,5.886473088264466,286,527.9220374540866,200.0,527.922037,88,27200,44,27200
-21.618411598205565,200,27600,5.993260750770569,288,57.01119099059865,200.0,57.011191,87,27600,45,27600
-21.977113761901855,200,28000,6.094034998416901,290,78.3798521791248,200.0,78.379852,87,28000,46,28000
-22.62542896270752,200,28400,6.109709949493408,292,445.47534981189966,200.0,445.47535,87,28400,47,28400
-22.851133346557617,200,28800,6.388019722700119,294,102.69248354591781,200.0,102.692484,86,28800,48,28800
-23.739577140808105,200,29200,6.818333423137664,296,554.7170689741582,200.0,554.717069,86,29200,49,29200
-24.01961208343506,200,29600,6.8035994720458985,298,79.89345035153997,200.0,79.89345,85,29600,50,29600
-24.547049198150635,200,30000,7.024088218212127,300,38.50338135791733,200.0,38.503381,85,30000,51,30000
-25.07073127746582,200,30400,7.213135983943939,302,493.08143873106144,200.0,493.081439,81,30400,52,30400
