MetaTest/push-v2/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v2/Iteration,MetaTest/push-v2/SuccessRate,MetaTest/push-v2/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/push-v2/AverageReturn,MetaTest/push-v2/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/push-v2/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/Average/SuccessRate,MetaTest/push-v2/MinReturn,TotalEnvSteps,MetaTest/push-v2/MaxReturn
28.958640702939025,28.958640702939025,0,0.0,50,0.0,28.958640702939025,0.0,50,22.143435877683277,11.231263405789212,0,22.143435877683277,121.33808057688078,28.958640702939025,0.0,11.231263405789212,230000,121.33808057688078
26.450078020909203,26.450078020909203,1,0.0,50,0.0,26.45007802090921,0.0,50,24.998433393089847,8.66617297843706,1,24.998433393089847,159.38846382575124,26.45007802090921,0.0,8.66617297843706,260000,159.38846382575124
27.28307658473877,27.28307658473877,2,0.0,50,0.0,27.283076584738765,0.0,50,30.16855159547998,8.257017317803452,2,30.16855159547998,214.82819609793958,27.283076584738765,0.0,8.257017317803452,290000,214.82819609793958
33.28518320264673,33.28518320264673,3,0.02,50,0.0,33.28518320264674,0.0,50,59.46791636648547,9.16695630453032,3,59.46791636648547,439.91597991948197,33.28518320264674,0.02,9.16695630453032,320000,439.91597991948197
33.78158334732998,33.78158334732998,4,0.0,50,0.0,33.78158334732997,0.0,50,22.010598244170378,12.039660186939262,4,22.010598244170378,109.69755030048528,33.78158334732997,0.0,12.039660186939262,350000,109.69755030048528
23.561362472004397,23.561362472004397,5,0.0,50,0.0,23.561362472004404,0.0,50,10.083828347635668,8.711195266586975,5,10.083828347635668,59.962355839073766,23.561362472004404,0.0,8.711195266586975,380000,59.962355839073766
31.71355889871378,31.71355889871378,6,0.0,50,0.0,31.71355889871377,0.0,50,45.32248484100779,9.86539165972849,6,45.32248484100779,331.53523272278665,31.71355889871377,0.0,9.86539165972849,410000,331.53523272278665
59.72180943017518,59.72180943017518,7,0.02,50,0.0,59.721809430175156,0.0,50,228.9087270275257,8.39447950613984,7,228.9087270275257,1659.6895942429455,59.721809430175156,0.02,8.39447950613984,440000,1659.6895942429455
22.945913510502173,22.945913510502173,8,0.0,50,0.0,22.945913510502177,0.0,50,9.423247370799531,7.501137497362802,8,9.423247370799531,50.916527630427034,22.945913510502177,0.0,7.501137497362802,470000,50.916527630427034
19.376267990690778,19.376267990690778,9,0.0,50,0.0,19.37626799069077,0.0,50,8.080077884058628,8.870392423221618,9,8.080077884058628,46.56133962065138,19.37626799069077,0.0,8.870392423221618,500000,46.56133962065138
32.62132247639717,32.62132247639717,10,0.04,50,0.0,32.621322476397175,0.0,50,81.20995605748116,4.626657679146351,10,81.20995605748116,528.3852145204893,32.621322476397175,0.04,4.626657679146351,530000,528.3852145204893
17.57819313053652,17.57819313053652,11,0.0,50,0.0,17.57819313053652,0.0,50,23.233987138594767,6.6294496508998595,11,23.233987138594767,163.16819501457852,17.57819313053652,0.0,6.6294496508998595,560000,163.16819501457852
18.149679977491022,18.149679977491022,12,0.0,50,0.0,18.149679977491015,0.0,50,9.048701116629843,3.3760434385778786,12,9.048701116629843,42.606005573754324,18.149679977491015,0.0,3.3760434385778786,590000,42.606005573754324
66.76874794332547,66.76874794332547,13,0.06,50,0.0,66.76874794332547,0.0,50,219.07793581468513,4.288835802352838,13,219.07793581468513,1429.5368068452285,66.76874794332547,0.06,4.288835802352838,620000,1429.5368068452285
6.925129248493981,6.925129248493981,14,0.0,50,0.0,6.925129248493981,0.0,50,1.837343152876283,4.409863722071672,14,1.837343152876283,14.466651677364561,6.925129248493981,0.0,4.409863722071672,650000,14.466651677364561
17.692208902883845,17.692208902883845,15,0.0,50,0.0,17.692208902883845,0.0,50,7.982139092986095,5.143538386434837,15,7.982139092986095,31.53043434777781,17.692208902883845,0.0,5.143538386434837,680000,31.53043434777781
27.07365975544422,27.07365975544422,16,0.0,50,0.0,27.07365975544422,0.0,50,15.935694031783227,7.116088872403128,16,15.935694031783227,124.22767386381912,27.07365975544422,0.0,7.116088872403128,710000,124.22767386381912
22.18830854048887,22.18830854048887,17,0.0,50,0.0,22.18830854048887,0.0,50,16.35748413708694,4.0569858376043655,17,16.35748413708694,93.68155545263367,22.18830854048887,0.0,4.0569858376043655,740000,93.68155545263367
61.707609330957474,61.707609330957474,18,0.04,50,0.0,61.70760933095747,0.0,50,209.2917870411972,4.829985561294633,18,209.2917870411972,1485.2197707605,61.70760933095747,0.04,4.829985561294633,770000,1485.2197707605
27.37333987254445,27.37333987254445,19,0.0,50,0.0,27.37333987254445,0.0,50,15.552936709183843,6.457611773576244,19,15.552936709183843,92.82691904066834,27.37333987254445,0.0,6.457611773576244,800000,92.82691904066834
175.01242583936363,175.01242583936363,20,0.14,50,0.0,175.01242583936357,0.0,50,645.7042667876182,5.458439471073183,20,645.7042667876182,4542.164178535875,175.01242583936357,0.14,5.458439471073183,830000,4542.164178535875
36.049267486115326,36.049267486115326,21,0.04,50,0.0,36.049267486115326,0.0,50,40.083021534169056,10.240650632457776,21,40.083021534169056,257.3744896875829,36.049267486115326,0.04,10.240650632457776,860000,257.3744896875829
45.204556021320876,45.204556021320876,22,0.02,50,0.0,45.204556021320876,0.0,50,65.09960647715548,2.7892385582388557,22,65.09960647715548,474.9579578660808,45.204556021320876,0.02,2.7892385582388557,890000,474.9579578660808
