MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/push-v2/Iteration,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/Average/MaxReturn,TotalEnvSteps,MetaTest/push-v2/NumEpisodes,MetaTest/push-v2/SuccessRate,MetaTest/push-v2/MinReturn,MetaTest/push-v2/AverageReturn,MetaTest/push-v2/MaxReturn,MetaTest/Average/StdReturn,MetaTest/push-v2/StdReturn,MetaTest/push-v2/AverageDiscountedReturn,MetaTest/Average/SuccessRate,MetaTest/push-v2/TerminationRate
28.720001417381432,9.99461288979233,0,50,28.720001417381436,0,0.0,215.0834898798559,40000,50,0.0,9.99461288979233,28.720001417381432,215.0834898798559,29.448018551970094,29.448018551970094,28.720001417381436,0.0,0.0
26.003454819783475,10.632208225392715,1,50,26.00345481978347,1,0.0,104.39142164504688,55000,50,0.0,10.632208225392715,26.003454819783475,104.39142164504688,15.624487062650358,15.624487062650358,26.00345481978347,0.0,0.0
23.917357507222164,8.638826758754393,2,50,23.91735750722216,2,0.0,166.11919826213742,70000,50,0.0,8.638826758754393,23.917357507222164,166.11919826213742,22.61570197711177,22.61570197711177,23.91735750722216,0.0,0.0
33.53399939430512,10.284026222712223,3,50,33.53399939430511,3,0.0,201.57697599464518,85000,50,0.0,10.284026222712223,33.53399939430512,201.57697599464518,35.0903229857978,35.0903229857978,33.53399939430511,0.0,0.0
24.661415687472825,10.750559051891404,4,50,24.661415687472832,4,0.0,87.38822889943613,100000,50,0.0,10.750559051891404,24.661415687472825,87.38822889943613,12.277558953641998,12.277558953641998,24.661415687472832,0.0,0.0
33.50024317306136,15.283227483767728,5,50,33.50024317306135,5,0.0,134.80040310408987,115000,50,0.0,15.283227483767728,33.50024317306136,134.80040310408987,23.178374672514884,23.178374672514884,33.50024317306135,0.0,0.0
24.791181611177517,8.44504910551737,6,50,24.791181611177507,6,0.0,128.58266786089703,130000,50,0.0,8.44504910551737,24.791181611177517,128.58266786089703,17.34469438987134,17.34469438987134,24.791181611177507,0.0,0.0
26.24767421231969,9.641928649561162,7,50,26.247674212319684,7,0.0,172.1803743445815,145000,50,0.0,9.641928649561162,26.24767421231969,172.1803743445815,23.566240757061365,23.566240757061365,26.247674212319684,0.0,0.0
29.91395392697214,8.033296054978907,8,50,29.913953926972145,8,0.0,125.47415957432939,160000,50,0.0,8.033296054978907,29.91395392697214,125.47415957432939,25.717515707660656,25.717515707660656,29.913953926972145,0.0,0.0
23.026210624067982,11.327846791290101,9,50,23.02621062406799,9,0.0,68.68001009539806,175000,50,0.0,11.327846791290101,23.026210624067982,68.68001009539806,9.285583482784292,9.285583482784292,23.02621062406799,0.0,0.0
