MetaTest/push-v2/TerminationRate,MetaTest/push-v2/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v2/MaxReturn,MetaTest/Average/StdReturn,MetaTest/push-v2/NumEpisodes,MetaTest/push-v2/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/push-v2/AverageDiscountedReturn,TotalEnvSteps,MetaTest/push-v2/Iteration,MetaTest/Average/MinReturn,MetaTest/Average/Iteration,MetaTest/Average/TerminationRate,MetaTest/push-v2/StdReturn,MetaTest/Average/SuccessRate,MetaTest/Average/NumEpisodes,MetaTest/push-v2/AverageReturn
0.0,9.99461288979233,28.720001417381432,28.720001417381436,215.0834898798559,29.448018551970094,50,0.0,215.0834898798559,28.720001417381436,40000,0,9.99461288979233,0,0.0,29.448018551970094,0.0,50,28.720001417381432
0.0,10.632208225392715,26.003454819783475,26.00345481978347,104.39142164504688,15.624487062650358,50,0.0,104.39142164504688,26.00345481978347,55000,1,10.632208225392715,1,0.0,15.624487062650358,0.0,50,26.003454819783475
0.0,8.638826758754393,23.917357507222164,23.91735750722216,166.11919826213742,22.61570197711177,50,0.0,166.11919826213742,23.91735750722216,70000,2,8.638826758754393,2,0.0,22.61570197711177,0.0,50,23.917357507222164
0.0,10.284026222712223,33.53399939430512,33.53399939430511,201.57697599464518,35.0903229857978,50,0.0,201.57697599464518,33.53399939430511,85000,3,10.284026222712223,3,0.0,35.0903229857978,0.0,50,33.53399939430512
0.0,10.750559051891404,24.661415687472825,24.661415687472832,87.38822889943613,12.277558953641998,50,0.0,87.38822889943613,24.661415687472832,100000,4,10.750559051891404,4,0.0,12.277558953641998,0.0,50,24.661415687472825
0.0,15.283227483767728,33.50024317306136,33.50024317306135,134.80040310408987,23.178374672514884,50,0.0,134.80040310408987,33.50024317306135,115000,5,15.283227483767728,5,0.0,23.178374672514884,0.0,50,33.50024317306136
0.0,8.44504910551737,24.791181611177517,24.791181611177507,128.58266786089703,17.34469438987134,50,0.0,128.58266786089703,24.791181611177507,130000,6,8.44504910551737,6,0.0,17.34469438987134,0.0,50,24.791181611177517
0.0,9.641928649561162,26.24767421231969,26.247674212319684,172.1803743445815,23.566240757061365,50,0.0,172.1803743445815,26.247674212319684,145000,7,9.641928649561162,7,0.0,23.566240757061365,0.0,50,26.24767421231969
0.0,8.033296054978907,29.91395392697214,29.913953926972145,125.47415957432939,25.717515707660656,50,0.0,125.47415957432939,29.913953926972145,160000,8,8.033296054978907,8,0.0,25.717515707660656,0.0,50,29.91395392697214
0.0,11.327846791290101,23.026210624067982,23.02621062406799,68.68001009539806,9.285583482784292,50,0.0,68.68001009539806,23.02621062406799,175000,9,11.327846791290101,9,0.0,9.285583482784292,0.0,50,23.026210624067982
0.0,8.032427054963991,30.620765323974684,30.620765323974688,219.07551662766687,37.160543667548936,50,0.0,219.07551662766687,30.620765323974688,190000,10,8.032427054963991,10,0.0,37.160543667548936,0.0,50,30.620765323974684
0.0,9.030763029589933,25.74908060662714,25.74908060662714,81.21032200441793,13.506061051435097,50,0.0,81.21032200441793,25.74908060662714,205000,11,9.030763029589933,11,0.0,13.506061051435097,0.0,50,25.74908060662714
0.0,11.738926044004094,34.125937848121865,34.12593784812185,410.94016022292465,54.791326483333386,50,0.0,410.94016022292465,34.12593784812185,220000,12,11.738926044004094,12,0.0,54.791326483333386,0.0,50,34.125937848121865
0.0,11.588088317352156,26.613797762009924,26.613797762009927,101.71611204083841,18.330398808232527,50,0.0,101.71611204083841,26.613797762009927,235000,13,11.588088317352156,13,0.0,18.330398808232527,0.0,50,26.613797762009924
0.0,8.658905773185115,23.05446987686232,23.05446987686232,58.40017333326185,10.394268515760274,50,0.0,58.40017333326185,23.05446987686232,250000,14,8.658905773185115,14,0.0,10.394268515760274,0.0,50,23.05446987686232
0.0,12.516573836317967,34.41548881485452,34.41548881485453,122.79772810519172,21.859591693940846,50,0.0,122.79772810519172,34.41548881485453,265000,15,12.516573836317967,15,0.0,21.859591693940846,0.0,50,34.41548881485452
0.0,10.083922595254487,26.658408369319744,26.658408369319744,147.6033809173192,20.480396017744003,50,0.0,147.6033809173192,26.658408369319744,280000,16,10.083922595254487,16,0.0,20.480396017744003,0.0,50,26.658408369319744
0.0,9.75722070159447,23.850998688430597,23.85099868843059,63.958004912212694,10.853734585928736,50,0.0,63.958004912212694,23.85099868843059,295000,17,9.75722070159447,17,0.0,10.853734585928736,0.0,50,23.850998688430597
0.0,8.592579527212115,22.68164058598325,22.68164058598325,44.30495866994048,8.631401791138316,50,0.0,44.30495866994048,22.68164058598325,310000,18,8.592579527212115,18,0.0,8.631401791138316,0.0,50,22.68164058598325
0.0,7.123716478617035,34.01968523220152,34.019685232201525,201.11905968765512,31.312260222711654,50,0.0,201.11905968765512,34.019685232201525,325000,19,7.123716478617035,19,0.0,31.312260222711654,0.0,50,34.01968523220152
0.0,11.375964911315036,35.968100043789875,35.96810004378989,337.82286553203164,48.986618537651815,50,0.0,337.82286553203164,35.96810004378989,340000,20,11.375964911315036,20,0.0,48.986618537651815,0.0,50,35.968100043789875
0.0,9.467642090053914,32.87668608449333,32.87668608449333,128.65099626825557,23.189202454734332,50,0.0,128.65099626825557,32.87668608449333,355000,21,9.467642090053914,21,0.0,23.189202454734332,0.0,50,32.87668608449333
0.0,9.699541022341847,30.457941892484627,30.457941892484627,209.47272576670272,30.361933061941574,50,0.0,209.47272576670272,30.457941892484627,370000,22,9.699541022341847,22,0.0,30.361933061941574,0.0,50,30.457941892484627
0.0,9.996957522503797,28.64695309789196,28.646953097891974,170.88290376474643,24.759270628038916,50,0.0,170.88290376474643,28.646953097891974,385000,23,9.996957522503797,23,0.0,24.759270628038916,0.0,50,28.64695309789196
0.0,12.118567819579562,24.463174089097215,24.463174089097212,83.75039991288847,11.966637214431074,50,0.0,83.75039991288847,24.463174089097212,400000,24,12.118567819579562,24,0.0,11.966637214431074,0.0,50,24.463174089097215
0.0,8.461375757567575,38.57197615761233,38.57197615761233,355.21507920944026,49.18346417176188,50,0.0,355.21507920944026,38.57197615761233,415000,25,8.461375757567575,25,0.0,49.18346417176188,0.0,50,38.57197615761233
0.0,8.240994897386804,47.93165768630673,47.93165768630673,316.1517367456416,60.51818035072566,50,0.0,316.1517367456416,47.93165768630673,430000,26,8.240994897386804,26,0.0,60.51818035072566,0.0,50,47.93165768630673
0.0,13.00824447058776,44.721025655822714,44.72102565582271,564.5606582358778,78.38797293340377,50,0.0,564.5606582358778,44.72102565582271,445000,27,13.00824447058776,27,0.0,78.38797293340377,0.0,50,44.721025655822714
0.0,10.324750877046814,35.56551635571757,35.56551635571758,93.3774664838501,19.760980987168082,50,0.0,93.3774664838501,35.56551635571758,460000,28,10.324750877046814,28,0.0,19.760980987168082,0.0,50,35.56551635571757
0.0,7.836228844187052,28.071686491964275,28.071686491964275,106.21270638864596,16.633593314061972,50,0.0,106.21270638864596,28.071686491964275,475000,29,7.836228844187052,29,0.0,16.633593314061972,0.0,50,28.071686491964275
