actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-7.1778195142745975,200,18000,3.002641395330429,240,85.73239628384992,200.0,85.732396,126,18000,21,18000
-7.616422910690307,200,18400,3.065154997110367,242,-2.8497567555653878,200.0,-2.849757,124,18400,22,18400
-8.212110114097595,200,18800,3.225143473148346,244,78.77884880761333,200.0,78.778849,121,18800,23,18800
-8.603228754997254,200,19200,3.2738098669052125,246,-26.198118955859087,200.0,-26.198119,119,19200,24,19200
-9.107591853141784,200,19600,3.5611951398849486,248,299.50669067976366,200.0,299.506691,117,19600,25,19600
-9.6035435962677,200,20000,3.688110488653183,250,260.826131149061,200.0,260.826131,115,20000,26,20000
-10.09135235786438,200,20400,3.669350997209549,252,-7.127168355621233,200.0,-7.127168,105,20400,27,20400
-10.358480396270751,200,20800,3.8476866984367373,254,-10.971310092026552,200.0,-10.97131,104,20800,28,20800
-11.055418138504029,200,21200,4.009402123689651,256,116.50404072693773,200.0,116.504041,102,21200,29,21200
-11.581186637878417,200,21600,4.182522220611572,258,257.56726377606054,200.0,257.567264,101,21600,30,21600
-11.896265888214112,200,22000,4.271026947498322,260,96.42848714332001,200.0,96.428487,100,22000,31,22000
-12.347991304397583,200,22400,4.376996351480484,262,338.72139174590643,200.0,338.721392,99,22400,32,22400
-12.767485027313233,200,22800,4.420930442810058,264,7.0793361381640665,200.0,7.079336,98,22800,33,22800
-13.333571043014526,200,23200,4.519444868564606,266,345.2607003212373,200.0,345.2607,97,23200,34,23200
-13.529681787490844,200,23600,4.643973079919815,268,31.124467386986804,200.0,31.124467,96,23600,35,23600
-14.10224365234375,200,24000,4.740718727111816,270,9.017081265590514,200.0,9.017081,95,24000,36,24000
-14.589674367904664,200,24400,5.022818931341171,272,272.3307080749054,200.0,272.330708,95,24400,37,24400
-15.317460851669312,200,24800,5.12568554520607,274,357.8111293624744,200.0,357.811129,94,24800,38,24800
-15.743045282363891,200,25200,5.279898750782013,276,-3.6324931323654335,200.0,-3.632493,93,25200,39,25200
-16.206736764907838,200,25600,5.627950019836426,278,15.69093595036862,200.0,15.690936,93,25600,40,25600
-16.51754684448242,200,26000,5.568103604316711,280,55.359592173999815,200.0,55.359592,92,26000,41,26000
-17.198436851501466,200,26400,5.716076600551605,282,397.3402634263363,200.0,397.340263,91,26400,42,26400
-17.754678077697754,200,26800,5.876121318340301,284,191.28241731882977,200.0,191.282417,91,26800,43,26800
-18.37361764907837,200,27200,5.835632426738739,286,325.26344395737146,200.0,325.263444,90,27200,44,27200
-18.869546747207643,200,27600,6.0148218464851375,288,30.974228066552445,200.0,30.974228,89,27600,45,27600
-19.200269565582275,200,28000,6.10659511089325,290,28.31462963915848,200.0,28.31463,89,28000,46,28000
-19.711079273223877,200,28400,6.159913198947907,292,305.0406256847034,200.0,305.040626,88,28400,47,28400
-20.12649459838867,200,28800,6.327515361309051,294,365.7567713940213,200.0,365.756771,88,28800,48,28800
-20.810771350860595,200,29200,6.2714954853057865,296,304.0283131491481,200.0,304.028313,87,29200,49,29200
-21.07745481491089,200,29600,6.578578915596008,298,30.338489427245015,200.0,30.338489,87,29600,50,29600
-21.45999616622925,200,30000,6.5810683465003965,300,-4.861748501272964,200.0,-4.861749,86,30000,51,30000
-22.133154945373533,200,30400,6.691510632038116,302,311.53188023338265,200.0,311.53188,83,30400,52,30400
-22.38176212310791,200,30800,6.893349180221557,304,396.46280286067054,200.0,396.462803,82,30800,53,30800
-23.358494453430175,200,31200,6.9969785785675045,306,355.0971425654816,200.0,355.097143,82,31200,54,31200
-23.893015937805174,200,31600,6.966957411766052,308,415.51542414989143,200.0,415.515424,82,31600,55,31600
-24.10577974319458,200,32000,7.146517269611358,310,80.78347102142585,200.0,80.783471,81,32000,56,32000
-24.932794761657714,200,32400,7.225466513633728,312,350.85454317022436,200.0,350.854543,81,32400,57,32400
-25.249423847198486,200,32800,7.261653110980988,314,359.66269602574374,200.0,359.662696,81,32800,58,32800
-25.613433513641358,200,33200,7.314145925045014,316,377.81823446925443,200.0,377.818234,81,33200,59,33200
-26.62263833999634,200,33600,7.456735374927521,318,486.9652878627158,200.0,486.965288,80,33600,60,33600
-26.56981548309326,200,34000,7.613343210220337,320,44.16388349201387,200.0,44.163883,80,34000,61,34000
-27.163793830871583,200,34400,7.725578925609589,322,411.026228556974,200.0,411.026229,80,34400,62,34400
-27.962090339660644,200,34800,7.892609808444977,324,109.6781237880075,200.0,109.678124,79,34800,63,34800
-28.042423820495607,200,35200,7.820883736610413,326,3.163560835596804,200.0,3.163561,79,35200,64,35200
-28.38895528793335,200,35600,8.135509662628174,328,53.46735921548979,200.0,53.467359,79,35600,65,35600
-28.79463384628296,200,36000,8.30403175354004,330,48.12385182095797,200.0,48.123852,79,36000,66,36000
-29.538433570861816,200,36400,8.451113703250885,332,372.9747583919182,200.0,372.974758,78,36400,67,36400
-29.696401634216308,200,36800,8.219426403045654,334,164.82246962047515,200.0,164.82247,78,36800,68,36800
-30.1661572265625,200,37200,8.272570927143096,336,108.14736701314196,200.0,108.147367,78,37200,69,37200
-31.125690593719483,200,37600,8.687868990898131,338,390.61461985308483,200.0,390.61462,78,37600,70,37600
-31.48242530822754,200,38000,8.683030128479004,340,-5.203552842400375,200.0,-5.203553,78,38000,71,38000
-31.645653896331787,200,38400,8.733638408184051,342,57.9382378866939,200.0,57.938238,77,38400,72,38400
-32.014295177459715,200,38800,8.921429543495178,344,335.4238403795906,200.0,335.42384,77,38800,73,38800
-32.283508224487306,200,39200,9.208358190059663,346,135.58762592833529,200.0,135.587626,77,39200,74,39200
-33.36194408416748,200,39600,9.469123198986054,348,522.2294281507449,200.0,522.229428,77,39600,75,39600
-33.61010429382324,200,40000,9.195252394676208,350,324.56142994009616,200.0,324.56143,77,40000,76,40000
-34.38182697296143,200,40400,9.703853211402894,352,383.6309444979718,200.0,383.630944,75,40400,77,40400
-34.734718589782716,200,40800,9.580162830352783,354,102.17149911204419,200.0,102.171499,74,40800,78,40800
-34.74036296844483,200,41200,9.709095547199249,356,62.64740976405679,200.0,62.64741,74,41200,79,41200
-35.240745868682865,200,41600,10.128251826763153,358,84.61058554679894,200.0,84.610586,74,41600,80,41600
