MetaTest/push-v2/TerminationRate,MetaTest/push-v2/SuccessRate,TotalEnvSteps,MetaTest/Average/NumEpisodes,MetaTest/push-v2/Iteration,MetaTest/Average/MaxReturn,MetaTest/push-v2/AverageReturn,MetaTest/Average/TerminationRate,MetaTest/push-v2/AverageDiscountedReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/push-v2/MinReturn,MetaTest/push-v2/StdReturn,MetaTest/push-v2/NumEpisodes,MetaTest/push-v2/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/Average/AverageReturn,MetaTest/Average/MinReturn,MetaTest/Average/StdReturn,MetaTest/Average/Iteration
0.0,0.0,40000,50,0,215.0834898798559,28.720001417381432,0.0,28.720001417381436,28.720001417381436,9.99461288979233,29.448018551970094,50,215.0834898798559,0.0,28.720001417381432,9.99461288979233,29.448018551970094,0
0.0,0.0,55000,50,1,104.39142164504688,26.003454819783475,0.0,26.00345481978347,26.00345481978347,10.632208225392715,15.624487062650358,50,104.39142164504688,0.0,26.003454819783475,10.632208225392715,15.624487062650358,1
0.0,0.0,70000,50,2,166.11919826213742,23.917357507222164,0.0,23.91735750722216,23.91735750722216,8.638826758754393,22.61570197711177,50,166.11919826213742,0.0,23.917357507222164,8.638826758754393,22.61570197711177,2
0.0,0.0,85000,50,3,201.57697599464518,33.53399939430512,0.0,33.53399939430511,33.53399939430511,10.284026222712223,35.0903229857978,50,201.57697599464518,0.0,33.53399939430512,10.284026222712223,35.0903229857978,3
0.0,0.0,100000,50,4,87.38822889943613,24.661415687472825,0.0,24.661415687472832,24.661415687472832,10.750559051891404,12.277558953641998,50,87.38822889943613,0.0,24.661415687472825,10.750559051891404,12.277558953641998,4
0.0,0.0,115000,50,5,134.80040310408987,33.50024317306136,0.0,33.50024317306135,33.50024317306135,15.283227483767728,23.178374672514884,50,134.80040310408987,0.0,33.50024317306136,15.283227483767728,23.178374672514884,5
0.0,0.0,130000,50,6,128.58266786089703,24.791181611177517,0.0,24.791181611177507,24.791181611177507,8.44504910551737,17.34469438987134,50,128.58266786089703,0.0,24.791181611177517,8.44504910551737,17.34469438987134,6
0.0,0.0,145000,50,7,172.1803743445815,26.24767421231969,0.0,26.247674212319684,26.247674212319684,9.641928649561162,23.566240757061365,50,172.1803743445815,0.0,26.24767421231969,9.641928649561162,23.566240757061365,7
0.0,0.0,160000,50,8,125.47415957432939,29.91395392697214,0.0,29.913953926972145,29.913953926972145,8.033296054978907,25.717515707660656,50,125.47415957432939,0.0,29.91395392697214,8.033296054978907,25.717515707660656,8
0.0,0.0,175000,50,9,68.68001009539806,23.026210624067982,0.0,23.02621062406799,23.02621062406799,11.327846791290101,9.285583482784292,50,68.68001009539806,0.0,23.026210624067982,11.327846791290101,9.285583482784292,9
0.0,0.0,190000,50,10,219.07551662766687,30.620765323974684,0.0,30.620765323974688,30.620765323974688,8.032427054963991,37.160543667548936,50,219.07551662766687,0.0,30.620765323974684,8.032427054963991,37.160543667548936,10
0.0,0.0,205000,50,11,81.21032200441793,25.74908060662714,0.0,25.74908060662714,25.74908060662714,9.030763029589933,13.506061051435097,50,81.21032200441793,0.0,25.74908060662714,9.030763029589933,13.506061051435097,11
0.0,0.0,220000,50,12,410.94016022292465,34.125937848121865,0.0,34.12593784812185,34.12593784812185,11.738926044004094,54.791326483333386,50,410.94016022292465,0.0,34.125937848121865,11.738926044004094,54.791326483333386,12
0.0,0.0,235000,50,13,101.71611204083841,26.613797762009924,0.0,26.613797762009927,26.613797762009927,11.588088317352156,18.330398808232527,50,101.71611204083841,0.0,26.613797762009924,11.588088317352156,18.330398808232527,13
0.0,0.0,250000,50,14,58.40017333326185,23.05446987686232,0.0,23.05446987686232,23.05446987686232,8.658905773185115,10.394268515760274,50,58.40017333326185,0.0,23.05446987686232,8.658905773185115,10.394268515760274,14
0.0,0.0,265000,50,15,122.79772810519172,34.41548881485452,0.0,34.41548881485453,34.41548881485453,12.516573836317967,21.859591693940846,50,122.79772810519172,0.0,34.41548881485452,12.516573836317967,21.859591693940846,15
0.0,0.0,280000,50,16,147.6033809173192,26.658408369319744,0.0,26.658408369319744,26.658408369319744,10.083922595254487,20.480396017744003,50,147.6033809173192,0.0,26.658408369319744,10.083922595254487,20.480396017744003,16
0.0,0.0,295000,50,17,63.958004912212694,23.850998688430597,0.0,23.85099868843059,23.85099868843059,9.75722070159447,10.853734585928736,50,63.958004912212694,0.0,23.850998688430597,9.75722070159447,10.853734585928736,17
0.0,0.0,310000,50,18,44.30495866994048,22.68164058598325,0.0,22.68164058598325,22.68164058598325,8.592579527212115,8.631401791138316,50,44.30495866994048,0.0,22.68164058598325,8.592579527212115,8.631401791138316,18
