Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0035628197,0.0027100001,122.83743,12.283744,24.968933,16.098759,-3.9922388,-0.009621382,0.002163165,-0.0040958924,-0.016453417,0.014393538,0.0022605027,0.022162389,0.008490597,-4.0194497,0.52489287,-1.9686104,-5.75027,0.0011832145,0.0012389781,0.0047784713,-0.0030966816,-5.0435152e-05,0.0019251212,0.004990122,-0.0053322245,0.012978429,0.34011117,-42.319279289932055,-37.948745590748324,-11.561458443117164,2000,2400,0,119.21027964900713,0,2.6622663888847455,121.87254603789188,131.28876750776544,0
0.014386227,0.88865364,0.122147195,0.012214719,266.5418,74.45685,-34.75356,37.848564,12.870051,112.35858,-14.219032,41.6869,12.813516,132.27881,11.223835,-2.083342,2.032011,7.224582,-8.685684,0.017077176,0.71173733,2.1595163,-2.5873852,-0.21039861,0.09346479,0.10090362,-0.7922629,0.046366904,0.32362065,41.93824910079836,53.0355358088215,-18.38940139274704,4000,4400,0,119.63477664394304,9.417885847971775,2.1577259059995413,131.21038839791436,262.4811715547694,1
0.03542124,0.9667276,0.10679856,0.010679856,47.43258,15.056452,-63.727703,62.28878,12.748654,133.9227,34.636173,65.74605,11.682956,133.85411,42.581932,-1.8728459,2.0313504,5.8769116,-8.96486,0.0022636289,0.7189821,2.0220728,-1.8766196,-0.28303713,0.106472835,0.09087457,-0.7332454,0.02954242,0.29946774,-81.95302334103741,-109.51026964411298,-11.489300414644681,6000,6400,0,122.22421392891556,9.399909822968766,2.2323717499384657,133.8564955018228,396.35875528946053,2
0.015453999,0.82980776,0.36762694,0.036762696,68.74693,52.10969,-85.61448,88.805786,17.526196,169.09383,46.90711,91.351204,16.61196,173.82326,54.144054,-1.8359833,1.9737638,5.1092477,-8.408758,-0.023649594,0.7090326,2.0364208,-2.1505127,-0.32891622,0.11334195,0.06946638,-0.74293923,0.5491649,0.24099624,11.795306541477169,-10.737624850431501,-21.76863339452212,8000,8400,0,121.49307995894924,9.42103347205557,2.187073316774331,133.10118674777914,529.9128088974394,3
0.26380408,0.63846934,17.020039,1.7020038,31.303442,11.453914,-106.87724,103.96201,19.92088,194.50224,67.187614,106.12488,18.995197,196.63391,76.28809,-2.2581573,1.8233566,4.8336854,-9.149931,0.042066038,0.64226997,2.0680628,-2.0241501,-0.31315932,0.10726973,0.09131779,-0.7600998,0.5495819,0.19480734,-131.06305142074126,-135.31311634262204,-43.89123882638658,10000,10400,0,123.35506817803252,9.874024315970019,2.285926884971559,135.5150193789741,664.7658502204577,4
0.54281175,0.62305105,30.916302,3.0916302,38.535072,17.812223,-109.340775,108.85702,23.648993,214.72928,61.43891,110.796936,22.882235,212.73412,70.488304,-1.9785486,1.923839,6.1123457,-12.591047,0.056803606,0.6592899,2.479311,-2.6478176,-0.37880147,0.11587246,0.056800447,-0.8990476,0.4518761,0.19642356,-20.95903370856736,-19.20570543320178,-23.771991869150234,12000,12400,0,121.9190188649809,9.212201419984922,2.082886799937114,133.21410708490293,798.2422604514286,5
0.45128188,0.59366685,32.46653,3.246653,61.586166,22.118982,-135.28844,135.21556,36.972946,258.9131,61.785057,136.46497,35.844307,257.14355,77.83377,-1.8961246,1.920441,9.446349,-8.351689,-0.02580752,0.6615001,2.3051076,-2.3370926,-0.42746165,0.110731855,0.035219766,-0.92199755,0.41627735,0.2518857,54.93624909671011,57.1058916629704,44.37260211161973,14000,14400,0,120.35284872597549,9.474482274032198,2.1318194080376998,131.9591504080454,930.2181871372741,6
0.18203828,0.66225183,36.330547,3.6330547,75.04335,27.331335,-139.91408,135.26949,38.140812,267.2948,27.557957,138.69339,36.283924,272.9252,46.701206,-1.5396264,2.1058524,8.890581,-9.001448,0.039259944,0.70658815,2.299811,-2.5484245,-0.4809181,0.11596118,-0.03661044,-0.95609033,0.5050834,0.2183872,-3.1179958754362147,-27.057131391674176,50.03054466876988,16000,16400,0,118.60246059997007,9.491385750006884,2.258329541189596,130.35217589116655,1060.3667745754356,7
0.5724782,0.49247622,36.985214,3.6985214,258.2791,56.183838,-186.49043,191.59555,44.65753,377.31943,107.304245,190.62129,43.615883,364.3215,120.404335,-1.2874255,2.1029842,6.942828,-11.35117,-0.04680966,0.7157885,2.74893,-2.548503,-0.5343689,0.11804024,-0.12952587,-1.0357338,0.55236655,0.2337788,111.18600961474819,55.806606476295656,90.4098286704375,18000,18400,0,120.14588476100471,9.287942161085084,2.1731172158615664,131.60694413795136,1192.1869031630922,8
0.21515274,0.57848585,44.958233,4.4958234,110.4508,44.465145,-157.6543,153.89348,51.238968,313.20956,5.796842,156.0581,49.611534,306.13416,20.041542,-0.8901971,2.3123207,8.733971,-10.961648,0.043577496,0.7825546,3.0193813,-3.2331326,-0.54414934,0.11812679,-0.10059086,-1.0123432,0.647578,0.20547757,214.28821584446743,187.59873965083239,111.07301658029328,20000,20400,0,119.91456722293515,9.501317758928053,2.3221429771510884,131.7380279590143,1324.0099489702843,9
0.4185362,0.55478984,37.391464,3.7391465,136.60626,41.34222,-204.07857,204.90459,68.11806,392.9284,37.52102,206.16455,67.68455,383.41153,37.506676,-0.68462956,2.2442098,8.080035,-9.792577,0.009016204,0.80021584,2.6205318,-3.026339,-0.57154936,0.1171499,-0.2074697,-1.0555387,0.45950413,0.2141602,104.62279970985384,73.17414213189421,85.42800180671499,22000,22400,0,123.32305346208159,9.586500853067264,2.2520700929453596,135.1616244080942,1459.523422335391,10
0.4098405,0.44944674,41.920235,4.1920238,128.06981,87.1625,-154.6731,159.00018,77.72177,436.48578,20.718298,160.57915,79.56302,436.1225,18.686634,-0.26429364,2.305641,8.725824,-8.987893,0.081067055,0.8366174,3.1819005,-2.8845215,-0.61067206,0.11484689,-0.19936079,-1.0926435,0.5381362,0.19080855,72.37369762753741,11.863896490443613,91.97619895843776,24000,24400,0,120.98335431306623,9.938472151989117,2.2492952290922403,133.1711216941476,1592.49732001964,11
0.5299224,0.4720418,74.29903,7.4299026,206.27295,59.233204,-249.69131,249.2284,100.25084,476.15176,-51.51707,247.72359,95.87233,466.96408,-29.616667,0.20488939,2.601884,9.459684,-9.408445,-0.01701848,0.90817124,2.970739,-3.1977236,-0.61362827,0.11483235,-0.23901771,-1.1426005,0.17412391,0.21806653,121.77837259784737,46.63200143793753,53.43732825325388,26000,26400,0,114.64019353501499,9.74140986893326,2.442969548050314,126.82457295199856,1714.7440469267312,12
0.5373322,0.6009129,35.852585,3.5852585,208.23062,119.59358,-244.35458,250.37769,100.29997,517.57465,50.854336,251.80655,101.24241,520.58295,54.379284,-0.19183108,2.4821758,10.062932,-7.6192713,-0.0070787654,0.85334134,3.1740599,-2.7897618,-0.62566733,0.10650519,-0.24802385,-1.1468699,0.46199864,0.18544605,113.15823205852239,67.89475535528169,46.47050487792516,28000,28400,0,86.08280184189789,5.163572530029342,1.2388635197421536,92.48523789166939,1807.1985671725124,13
0.5811763,0.4121541,57.48192,5.748192,115.20971,46.650677,-292.16788,289.5389,98.70725,502.974,-22.097996,293.51675,97.7999,492.72684,-4.790204,0.17257036,2.5272758,9.479731,-8.545409,0.01900083,0.90180105,2.894087,-3.0309565,-0.6322601,0.106984675,-0.18670386,-1.0695564,0.50002754,0.19917096,214.82559788737927,184.74896635128215,77.18009066179853,30000,30400,0,80.49419658002444,5.133102089050226,1.265825962065719,86.89312463114038,1894.2188118554186,14
0.6298593,0.47434577,65.95882,6.595882,173.08981,78.0055,-275.31427,264.95758,103.910126,527.3087,-83.867455,270.86182,99.34284,519.202,-40.81482,0.49245676,2.7498722,11.17048,-9.498048,0.048727885,0.9437938,3.510092,-2.9154477,-0.64923465,0.104805894,-0.16870697,-1.0847487,0.4746697,0.21700346,28.940799810245032,-2.9125225677547784,90.78328928681674,32000,32400,0,86.21589542599395,5.260308567900211,1.2448876320850104,92.72109162597917,1987.0567123433575,15
0.19523796,0.5159933,20.726923,2.0726924,431.6281,408.504,-214.13562,229.6268,75.21081,477.8236,57.20206,231.49844,78.2861,480.28568,50.6323,-0.28024837,2.348183,8.342836,-9.019335,0.00012113228,0.8175407,2.934873,-3.0239534,-0.6526186,0.1009503,-0.29432482,-1.0881503,0.5739809,0.20714073,112.48911179463255,142.5149339561351,102.7151339083261,34000,34400,0,84.91580488893669,5.377300929045305,1.270675945095718,91.56378176307771,2078.398386635352,16
0.71052986,0.47815213,89.77893,8.977893,511.2801,193.45921,-304.2375,284.48016,113.25974,557.1835,-128.25787,296.5706,105.34497,561.8717,-14.845203,1.1180128,3.0333273,15.60374,-8.948487,0.07869758,1.0326836,4.1792946,-4.7858267,-0.6411527,0.109408855,-0.19649154,-1.1770399,0.44411102,0.17840993,89.48173140017983,48.18764278861143,110.58630757351236,36000,36400,0,81.06738881103229,5.155424213968217,1.2373564830049872,87.46016950800549,2165.9534960142337,17
0.57903904,0.40696603,54.337193,5.433719,194.923,63.855457,-411.78305,407.07098,66.52661,587.03,243.50627,409.6207,65.20938,603.5818,232.37885,0.3631692,2.5574527,9.576255,-9.466652,-0.047752023,0.90870816,3.1069863,-3.4631145,-0.6752102,0.090214424,-0.3490904,-1.0944588,0.59905726,0.19195297,267.6135590578995,251.97978826144154,156.51915769750778,38000,38400,0,87.79557402199134,5.250500296941027,1.3425223778467625,94.38859669677913,2260.3038666751236,18
0.8116544,0.49960423,76.11296,7.611296,207.3164,83.259636,-392.80493,388.72195,133.86705,634.9498,-56.1433,396.4265,130.10944,634.4278,-36.207947,0.28321606,2.6606963,11.278852,-10.01213,0.0035573505,0.9241354,3.4907155,-3.3790414,-0.6402841,0.10170007,-0.14005634,-1.0163708,0.7553545,0.21779999,168.70135861107235,116.21606658609298,141.5966453904478,40000,40400,0,81.5804591398919,5.212368397973478,1.292359228944406,88.08518676680978,2348.4435773717705,19
0.44413108,0.49117923,46.838192,4.6838193,118.34413,49.787716,-282.74808,279.04202,105.916916,527.06555,-24.113653,283.41653,105.669464,521.77234,-16.067806,-0.3283328,2.4641058,10.09075,-7.9719934,-5.0474206e-05,0.8538311,2.735452,-3.240895,-0.60239106,0.10388198,-0.18964297,-1.0030277,0.6001191,0.21758454,31.951784134387204,39.204541460271,143.9369859851166,42000,42400,0,86.74261439905968,5.2671386279398575,1.3093912741169333,93.31914430111647,2441.5871522628004,20
0.5189885,0.50896657,59.186905,5.9186907,104.981155,43.36335,-284.2404,278.46207,116.48832,562.9697,-30.720886,285.30133,115.01973,564.81714,-3.6223116,0.11884992,2.5597394,9.263814,-9.784527,0.05449905,0.90024203,3.0295959,-3.1647952,-0.60613877,0.11167531,-0.18146864,-1.0132099,0.51344985,0.2232614,62.67929406062007,-15.737214654753869,171.21013084215045,44000,44400,0,84.76850590505637,5.091686374973506,1.2493533638771623,91.10954564390704,2532.7493761468213,21
